id,mark_sub_level,title,upload_date,duration,view_count,like_count,dislike_count,comment_count,description,webpage_url,channel_url,comments
yV6k8VVT4vs,,"Beethoven Piano Sonata Pathetique, 3rd Mvt ~ Yidi Ding, age 10",20220628,280,7459,566,,47,,https://www.youtube.com/watch?v=yV6k8VVT4vs,https://www.youtube.com/channel/UC1aBRNHzLeYQ3sK25fQ1vww,"['Flawless perfection!', 'Thank you so much', 'Absolute beautiful and so much talented,this is my favourite pieces from Beethoven.Great work!', 'Many thanks!', 'Currently working on this piece', '👏👏👏', 'Thank you very much!', 'Listening to your performance is a pleasure, thank you, my lovely genius!', 'Thank you so much dear Sharon😻', 'You did an amazing job at playing my piece.', 'Thank you so much ☺️', 'I have no doubt that you will be a great pianist in the future.', 'Thank you so much 😊', 'Great! Thank you very much.', 'One of my favorite pieces from Beethoven. Great performance as always!', 'Thank you so much ，my dear friend ❤️', 'Yep its my favorite and second is tempest', 'Amazingly! I always look forward to your interpretations, hope to hear more music from you.', 'Thank you so much', ""As lovely an interpretation as ever I've heard. Thank you, Yidi."", 'Thank you so much', 'I love Beethoven!  Yidi, thanks for sharing your gift from God with all of us. Excellent job as always!', 'Thank you so much 😊', 'Wonderful, thank you!', 'Thank you so much 🙏🍓🏖🎡', 'Great playing! I really like this place! It would have to be one of my favorites!', 'Thank you so much dear Muhamad', 'What a gifted child to play so beautifully at such an age!', 'Thank you so much Shindo，I will keep working hard in future', 'Beautiful! Every single notes', 'thank you so much', 'One of my favorite Beethoven piano sonata movements. Beautifully played, thank you.', 'Thank you so much ，dear Jaylah', 'Your piano repertoire is amazing!', 'Thank you so much 🥰', ""Yidi, I think you're going to be a great pianist when you grow up, oh you're a concert pianist now."", 'I hope so ，thank you so much', ""You play so beautifully, it's hard for me to imagine you're only ten years old."", 'Thank you so much 😘', ""I really enjoy your versions of Beethoven's piece. This is the first I've ever learned of Beethoven's sonatas, you played it very beautifully !"", 'Thank you so much for your encouragement 😊', ""You're going to be a superstar, Yidi! Keep it up! 👍🏻"", 'Thank you so much for your kindness', ""Yidi, you play with your heart, it's great！"", 'Thank you so much 😍', 'I like your interpretation. This is a special performance.', 'Thank you so much my dear friend Laor']"
il0Ecu2bFgk,,Liszt Grandes Études de Paganini No.6 - Richard Gao,20220122,311,596,11,,3,Richard played this in January 2022.,https://www.youtube.com/watch?v=il0Ecu2bFgk,https://www.youtube.com/channel/UC2SREkge0aUeyXzdSn6-y2g,"['Noice', 'Awesome!', 'Wow! Great playing!']"
UoJiSm3beFs,,Richard Gao - Chopin Nocturne in C minor Op. 48 No. 1,20221229,357,275,13,,1,Richard played this in November 2022. Thanks for watching!,https://www.youtube.com/watch?v=UoJiSm3beFs,https://www.youtube.com/channel/UC2SREkge0aUeyXzdSn6-y2g,['Beautiful interpretation!']
15qtcue5WVk,,"Mozart Sonata for 4 Hands, KV 521, 2nd mvt - Richard Gao & Eric Guo",20160504,412,248,3,,0,"Richard and Eric performed this at Junior Chamber Concert of The Taylor Performance Academy for Young Artists, April 24, 2016.",https://www.youtube.com/watch?v=15qtcue5WVk,https://www.youtube.com/channel/UC2SREkge0aUeyXzdSn6-y2g,
Ac679LLlhp0,,Chopin Scherzo No.1 By Richard Gao (11),20150508,526,339,3,,0,"Richard played this in January 2015,",https://www.youtube.com/watch?v=Ac679LLlhp0,https://www.youtube.com/channel/UC2SREkge0aUeyXzdSn6-y2g,
XZflQ1Td8tY,,Ravel - Sonatine  First Movement “Modéré”，By Yidi Ding，Age 11,20230307,289,1201,230,,6,,https://www.youtube.com/watch?v=XZflQ1Td8tY,https://www.youtube.com/channel/UC1aBRNHzLeYQ3sK25fQ1vww,"['Magnificent!', 'Bravo Yidi 🎉', 'Great Yidi 👍👍👍🔝🔝🔝🔝🎵🎵🎵', 'Thank you so much', '🥰😍❤', '❤❤❤😊']"
t4cysE54D1o,,Richard (8) Plays Mozart Sonata K333 1st mvt,20120526,345,916,8,,6,"Richard, age 8, played this in May 2012.",https://www.youtube.com/watch?v=t4cysE54D1o,https://www.youtube.com/channel/UC2SREkge0aUeyXzdSn6-y2g,"['Wonderful Mozart! ', 'Great to hear another beautiful performance by Richard! thanks for sharing this. ', 'Very nicely done!!', 'You are the best kid on Youtube.', ""It's surreal to watch this little boy playing..."", 'Richard never stops amaze me!']"
cE4w-Ob_HDM,,Beethoven Sonata No. 21 Waldstein (complete) by Richard Gao,20220709,1329,1120,21,,6,"Richard played this in Feb 2021.

0:00  - 1st movement
8:40  - 2nd movement
12:45  - 3rd movement",https://www.youtube.com/watch?v=cE4w-Ob_HDM,https://www.youtube.com/channel/UC2SREkge0aUeyXzdSn6-y2g,"['brilliant', 'This is my all time favorite piano sonata. This playing of it is really pretty good, just a few very minor mistakes. This IS a very difficult piece, I know. Be careful with the sustain pedal in the 2nd movement, too.', 'Beautifully played ❤', 'good job', 'Wonderful performance.  Sounds amazing 🎹🎹🎹🎹🎹🎹🎹🎹🎹👏👏👏👏👏👏👏👏👏👏👏👏👏', 'wow, grow up so much']"
kZ8L7nTByi8,,Chopin Waltz Op. 34 No. 3 - Brian Gao,20181228,173,131,4,,0,Brian played this in March 2018.,https://www.youtube.com/watch?v=kZ8L7nTByi8,https://www.youtube.com/channel/UC2SREkge0aUeyXzdSn6-y2g,
z_G51jWoHYk,,"Yidi (age 8) plays Tchaikovsky The Seasons to all the mother over the world,  have a beautiful day.",20200510,147,773,56,,0,"Today is mother's day, I would like to play Tchaikovsky The Seasons to all the mothers over the world. I wish you have a beautiful day filled with joy and love.",https://www.youtube.com/watch?v=z_G51jWoHYk,https://www.youtube.com/channel/UC1aBRNHzLeYQ3sK25fQ1vww,
