Composer,Work Title,Movement,henle,YouTube Link 1,YouTube Link 2,YouTube Link 3,Unnamed: 6,audio_id,audio_path,original_id,split
FRÉDÉRIC CHOPIN,Ballade f minor op. 52,,9,https://www.youtube.com/watch?v=DifwSUoUqec,,,,DifwSUoUqec,DifwSUoUqec.wav,c-209,val
LUDWIG VAN BEETHOVEN,Piano Sonata (Waldstein Sonata) C major op. 53,mvt. 1,9,https://www.youtube.com/watch?v=5q72vXcAW0o,https://www.youtube.com/watch?v=o_4s7hSfNII,https://www.youtube.com/watch?v=Pik2nUjG7OI,,5q72vXcAW0o,5q72vXcAW0o.wav,c-21,train
LUDWIG VAN BEETHOVEN,Piano Sonata (Waldstein Sonata) C major op. 53,mvt. 2,9,https://www.youtube.com/watch?v=Hbwcu2pbwig,https://www.youtube.com/watch?v=5q72vXcAW0o,https://www.youtube.com/watch?v=Pik2nUjG7OI,https://www.youtube.com/watch?v=_wwnfpyAtu4,Hbwcu2pbwig,Hbwcu2pbwig.wav,c-21,train
LUDWIG VAN BEETHOVEN,Piano Sonata (Waldstein Sonata) C major op. 53,mvt. 3,9,https://www.youtube.com/watch?v=O1O5WyR_nDg,,,,O1O5WyR_nDg,O1O5WyR_nDg.wav,c-21,train
LUDWIG VAN BEETHOVEN,Piano Sonata (Waldstein Sonata) C major op. 53,mvt. 4,9,https://www.youtube.com/watch?v=UFj0jXMAQzU,,https://www.youtube.com/watch?v=o_4s7hSfNII,,UFj0jXMAQzU,UFj0jXMAQzU.wav,c-21,train
LUDWIG VAN BEETHOVEN,Piano Sonata (Appassionata) f minor op. 57,mvt. 1,9,https://www.youtube.com/watch?v=EEptNFzLpjk,,,,EEptNFzLpjk,EEptNFzLpjk.wav,c-23,test
LUDWIG VAN BEETHOVEN,Piano Sonata (Appassionata) f minor op. 57,mvt. 2,9,https://www.youtube.com/watch?v=vlb45gA9ge4,,,,vlb45gA9ge4,vlb45gA9ge4.wav,c-23,test
LUDWIG VAN BEETHOVEN,Piano Sonata (Appassionata) f minor op. 57,mvt. 3,9,https://www.youtube.com/watch?v=efA1S8hyBms,https://www.youtube.com/watch?v=4tadbTifZFs,https://www.youtube.com/watch?v=YeH2vuwnaQk,,https://www.youtube.com/shorts/J384ENa4Ui0,efA1S8hyBms.wav,c-23,test
FRÉDÉRIC CHOPIN,"Etude C major op. 10,1",,9,https://www.youtube.com/watch?v=EsyGQYnvkMc,https://www.youtube.com/watch?v=9E82wwNc7r8,https://www.youtube.com/watch?v=JRgQgr4-at8,https://www.youtube.com/watch?v=yhvFGWChNGY,EsyGQYnvkMc,EsyGQYnvkMc.wav,c-263,train
FRÉDÉRIC CHOPIN,"Etude g sharp minor op. 25,6",,9,https://www.youtube.com/watch?v=Kq-zzAczGRE,https://www.youtube.com/watch?v=JbJ79UAt6UI,https://www.youtube.com/watch?v=A1ggN4xxgxM,https://www.youtube.com/watch?v=0pQYEigYKpg,Kq-zzAczGRE,Kq-zzAczGRE.wav,c-273,train
