id,mark_sub_level,title,upload_date,duration,view_count,like_count,dislike_count,comment_count,description,webpage_url,channel_url,comments
H0-BU62EEfE,0,Contrasts - ABRSM Grade 7 specimen No. 13 - Sight-reading progress July 2023 #30piecechallenge,20231228,70,90,6,,2,"I've been hesitating to make it ""public"" but I've been trying to make the #30piecechallenge this year.
The 40/30/20 piece challenge has been quite popular among musicians in the past few years, I came across this challenge on the website ""Piano Syllabus"", and I'm tracking my pieces there.

The main idea is that most students only learn around 10 pieces each year, but practising more pieces is what actually fuels motivation and improves sight-reading significantly. I like this logic, so I decided to give it a try!

You can read more about this challenge here:
https://elissamilne.com/2015/02/04/where-did-the-40-piece-challenge-begin/

I think 40 pieces would be too many for me, so I went for the middle number: 30 pieces in a year, starting January 2023.

I've always practised a lot of sightreading, and it seems unfair to me to exclude this big part of my practice from the challenge. Since the start of the year, I have sight-read 8 books of sightreading pieces already and I usually read them twice, underline pieces that I find harder and read those again a third time. Seems fair to me to record 1 or 2 pieces/exercises from each of the books I go through and count them as ""1"" for this challenge. 
So here it goes, these are two of the hardest pieces from the book: 

Piano Specimen Sight-reading tests (From 2009) Grade 7
This exercise is from page 14 No. 8 ""Contrasts"".
I finished sight-reading this book on the 13th of July 2023.
I've currently completed 60% of the 30 pieces and I should be at 66%. I'm a bit behind!

I'll post other excerpts in the following weeks, every Thursday at 2:30pm UK time.

Like and subscribe to see if I'll make it to 30 pieces by December!

This exercise is all about bringing out the contrast between piano and forte. It's easy to ignore dynamics when reading, so this is a good one!",https://www.youtube.com/watch?v=H0-BU62EEfE,https://www.youtube.com/channel/UCSoasSmoWrTAmeDUP65hl3A,"['Very beautifully played 👏🏻', 'Thank you 😊']"
rJqH5myics8,,60 days of practice: day  28 Chopin Nocturne op.9 no.2 Amazing music,20230621,66,418,21,,6,#amazingmusic,https://www.youtube.com/watch?v=rJqH5myics8,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,"['👏👏👏❤️😘. мне очень все нравится...продолжай в том же духе...', 'Спасибо🥰🥰🥰😊🤩', ""Is it the piano's normal voice or you record it with aux or something?  so good btw"", 'Normal voice, but I record with headphones and a laptop.', 'Great Job!', 'Thank you🤗']"
_YgP8fHct7E,,Czerny Etude 17 Fast Passagess Piano Practice Day 16 of 30,20230509,43,74,12,,4,#czerny #etude  #pianopractice #practicepiano #chopin #piano #classicalpiano #classicalmusic #music #classical #pianist,https://www.youtube.com/watch?v=_YgP8fHct7E,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,"['Суперррр...🔥🔥🔥👏👏👏💐 очень классно👍👍👍🤗❤️', 'Спасибо большое🥰🤗😊', 'Perfect !!!! Mr.Czerny could be happy on this performance 😊', 'Thank you very much, Angelo🤗🤗🤗❤️']"
l8R2n3X0_aY,,60 days of practice: day 39 Chopin Waltz op.64 no.2 | The Most Beautiful Part,20230704,84,272,18,,8,#chopin #chopinwaltz #waltz #pianopractice #practicepiano #piano #classicalpiano #classicalmusic,https://www.youtube.com/watch?v=l8R2n3X0_aY,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,"['Мне очень нравится как ты играешь!🤗💐👏👏👏❤️ Продолжай и дальше радовать нас своей игрой.', 'Спасибо большое 🤗🤗🤗🥰', 'Как всегда на высшем уровне!!!👏👏👏❤️💐 Мне очень нравится как ты играешь! Продолжай нас радовать своей игрой.😘', 'Спасибо❤️❤️❤️', ""Hello  \nBeautiful playing \nBut  i think it need more rubato in my opinion\nWhy you don't play the whole piece \nTo see your whole progress.  \nIt is important to play the whole piece in my opinion"", 'One question, what is rubato?', 'Maybe, I need to think about it.', 'It means to play more freely without a strict rhythm']"
4z_3CPgz_zc,,"Arietta Grieg | piano, HANSOL | 아리에타 그리그",20200321,83,101,2,,,Arietta Edvard Grieg Lyric Pieces Op. 12 No. 1,https://www.youtube.com/watch?v=4z_3CPgz_zc,https://www.youtube.com/channel/UCztTKflXnyZ4vfWCQKO3nPw,
v9C9qudAIcU,,Day 1 of 30 Tchaikovsky Sweet dream,20230424,60,120,7,,0,,https://www.youtube.com/watch?v=v9C9qudAIcU,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,
hxeEu-tCeB4,,60 days of practice: day 31 Chopin Fantaisie-Impromptu | One Month Progress,20230624,81,1986,87,,15,#chopin #chopinfantaisieimpromptu #fantaisieimpromptu #pianopractice #practicepiano #piano,https://www.youtube.com/watch?v=hxeEu-tCeB4,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,"[""It's really day 31? Like omg, that's soo good! You're so talented, keep studying!! ❤❤"", 'Thank you very much❤️', 'it sounds different in an  amazing intend', 'Bravissima!!!!!', 'Thank you so much😊', 'This was WAY better than I expected', ""I didn't expect too😂"", 'Muito bom. Parabéns!!!!!!', '🤗🤗🤗', 'this is incredible! keep studying', 'Thank you🤗', 'nice work dude !', 'Thank you❤️', 'Wow, it sounds spectacular and very clean 👏👏', 'Thank you very much🤗']"
cs7iJvAIzUA,,Autumn Leaves LIVE,20230831,182,31,,,,"created on Oct 10, 2018 by Hansol",https://www.youtube.com/watch?v=cs7iJvAIzUA,https://www.youtube.com/channel/UCztTKflXnyZ4vfWCQKO3nPw,
h8Nj4sSBgDA,,슈만 ; Melodie Album for The Young,20201029,46,61,1,,0,"Schumann Melodie Op. 68
Piano",https://www.youtube.com/watch?v=h8Nj4sSBgDA,https://www.youtube.com/channel/UCztTKflXnyZ4vfWCQKO3nPw,
MpNba8vhrx0,,하농 1번,20220712,40,24,,,,,https://www.youtube.com/watch?v=MpNba8vhrx0,https://www.youtube.com/channel/UCztTKflXnyZ4vfWCQKO3nPw,
R5Y3a7xZWWc,,60 days of practice: day 25 Rachmaninoff Prelude op.3 no.2 Speed up,20230618,67,120,7,,6,,https://www.youtube.com/watch?v=R5Y3a7xZWWc,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,"['Super Talented and passionate girl 🙏🙏🙏🌟🌟🌟', 'Thank you so much, Angelo 🥰', 'Отлично!!!👍❤️', 'Спасибо🤗❤️', 'How much have you been practicing daily? Excellent job!', 'About 2-4 hours😊']"
ZKjOmH5skPc,,하농 1번 빠르게,20220712,40,97,,,,,https://www.youtube.com/watch?v=ZKjOmH5skPc,https://www.youtube.com/channel/UCztTKflXnyZ4vfWCQKO3nPw,
MUXDxL88Eew,,"A. Khachaturyan - Waltz (""Masquerade"")",20231126,202,127,14,,,,https://www.youtube.com/watch?v=MUXDxL88Eew,https://www.youtube.com/channel/UCtBh6e4qPMgJx4O6hL3OHQA,
kX9Xm_EoIcU,,J. Hydn Sonate e moll Development practice,20210303,51,28,4,,2,"J. Hydn Sonate e moll Development practice

My Instagram: https://instagram.com/volha_piano?igshid=vpm5f83whjwg


#piano #pianist #music #pianocover #classicalmusic #pianomusic #love #instagood #instagram #beautiful #beethoven #chopin #classicmusic #музыка # пианино #пианист #piyanist
#pianoforte #音楽 #ピアノ#بيانو #피아노
 #음악 #pianoman #keyboard #classic",https://www.youtube.com/watch?v=kX9Xm_EoIcU,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,"['👏👏👏🌷❤️🤗', '🙏💫🎶💕']"
mCHRmXh6K9Q,,Heller: Op. 45 No. 4 (Sorrow and Joy),20210703,120,1230,31,,1,By Stephen Heller,https://www.youtube.com/watch?v=mCHRmXh6K9Q,https://www.youtube.com/channel/UCARhyyxNbUEim4VCL16_YSg,"['Very nice composition never heard of, well played!']"
nbIOl-ZI28E,,60 days of practice: day 42 Beethoven Sonata no.2,20230707,62,142,15,,4,#beethoven #beethovensonata #sonata #pianopractice #practicepiano #piano #classicalpiano,https://www.youtube.com/watch?v=nbIOl-ZI28E,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,"['Brava bravissima! 🌟🌟🌟🌟🌟', 'Thank you dear❤️', 'Muito bom. Bela evolução.❤', '😊🤗😍']"
u5Z2lTguXQQ,,60 days of practice: day 4 Beethoven Sonata 2,20230527,51,254,15,,2,#beethoven #beethovensonata #sonata #pianopractice #practicepiano #chopin #piano #classicalpiano #classicalmusic #music #classical #pianist #musician,https://www.youtube.com/watch?v=u5Z2lTguXQQ,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,"['Wow! Keep it up and good luck. I just done practicing sonata no. 10 in G major, Op. 14 the second part. It was really fun to play, Beethoven sonatas are really cool. This one is very pretty too', 'Thank you very much🤗']"
Olq6qSg4SoQ,,Chopin Etude op  25 no 1,20221008,178,56,7,,3,,https://www.youtube.com/watch?v=Olq6qSg4SoQ,https://www.youtube.com/channel/UCNYXoB4duLvrUR5ERSAHjNg,"['You inspire me sir Knight!!!', 'Thank you.  I wish you a good practice!', 'Wow it sounds amazing to me!']"
kZ6zG7kqgy0,,Memories / Original Composition (Remastered Audio),20230324,187,154,13,,7,,https://www.youtube.com/watch?v=kZ6zG7kqgy0,https://www.youtube.com/channel/UCV_NSE1aLQt04b9CHUX4l7Q,"['Stream it here: https://open.spotify.com/track/2YyCdZZeOGiueCWlyWKGYN?si=GIXz-UCbRLGUQu4nDCiz8A 🎶', 'Adoro. Muito bem, continua❤❤❤', '❤️', 'Amazing!💗 Beautiful  music! 🎹🎼🎵🎶Thank you very much! Have a good day!', 'Thank you!', 'Excelente composición y magnífica y sentida interpretación, felicidades desde Madrid y hasta pronto Luís, like 1', 'Gracias Jose 😉']"
BFpPAc-h-kM,,Tchaikovsky Polka Piano Practice Day 20 of 30,20230513,35,65,13,,3,#tchaikovsky #polka #pianopractice #practicepiano #chopin #piano #classicalpiano #classicalmusic #music #classical #pianist,https://www.youtube.com/watch?v=BFpPAc-h-kM,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,"['You are a ""metronome girl""!  your tempo is perfect and addictive !!', 'This is so  funny comment😂😂😂......Although it may be so because I never use a metronome.', '\xa0VolhaPiano\xa0 you have a rare Quality ! Your teacher must knows it, sure he is proud of you 🤗']"
4S_MsHjXwfk,,Piano progress 2y 8 months Träumerei (Dreaming) - Schumann,20230902,204,144,14,,7,"Träumerei (Dreaming) - Schumann

Scenes from Childhood Op. 15
Träumerei (Dreaming) - Schumann

Very beautiful ABRSM Grade 7 piece ❤️

Hours count: 10h
Recorded: 28 August 2023",https://www.youtube.com/watch?v=4S_MsHjXwfk,https://www.youtube.com/channel/UCSoasSmoWrTAmeDUP65hl3A,"['Bellissimo bravo e interpretazione molto sognante 🥺', 'Grazie mille ❤️', 'Nice one \nand finally the pedal shed some dust off😂', 'Ahahah that’s true, I haven’t been using it much lately xD', 'Schumann ❤️ Such a lovely piece to play. I literally think of my dreams everytime I play and listen to it 🤤', 'Oh yes, Schumann‘s Träumerei - this is always good! You played with great expression and feeling, wonderful 👏🏻', ""Yes, a classic! A must play for every fellow musician, it's so beautiful 😊 thank you ❤️""]"
