id,technique,title,upload_date,duration,view_count,like_count,dislike_count,comment_count,description,webpage_url,channel_url,comments,Scales,Arpeggios,Ornaments,Repeatednotes,Doublenotes,Octave,Staccato
w1JJaDFGxgU,Arpeggios,【甜蜜變奏曲-琶音練習】課程實錄/小楊流行爵士鋼琴/簡譜教學/新北永和,20220423.0,62.0,212.0,5.0,,0.0,"2022【小楊鋼琴-團體課程】永和頂溪站
課程相關:搜尋 【小楊鋼琴FB】
LINE ID：@ecn1544n【洽詢報名】

【講義樂譜】相簿
https://www.facebook.com/%E5%B0%8F%E6%A5%8A%E9%8B%BC%E7%90%B4-171810282831484/photos/?ref=page_internal

【小楊鋼琴團體班】課程實錄
https://youtube.com/playlist?list=PLJ6xo7SwF9c7UP87XWj-RMIzlFFRL7OSa

【小楊老師YOUTUBE教學影音】連結清單
https://www.youtube.com/channel/UCLEAgv2CLjM7Rx0amm_x6Vw/playlists",https://www.youtube.com/watch?v=w1JJaDFGxgU,https://www.youtube.com/channel/UCLEAgv2CLjM7Rx0amm_x6Vw,,0,1,0,0,0,0,0
3iqZOeqZ0GY_cut,Arpeggios,27.01.23琶音练习T=85,20230128.0,3016.0,7.0,0.0,,0.0,,https://www.youtube.com/watch?v=3iqZOeqZ0GY,https://www.youtube.com/channel/UC_CUw084uG1LRo-doLhC1UA,,0,1,0,0,0,0,0
Y5CsDc2Cpzo,Doublenotes,"Béla Bartók - Mikrokosmos Book 5 - No. 134 - Studies in Double Notes (a, b & c)",20240120.0,65.0,94.0,3.0,,0.0,"Exercise No. 134 from Bartók's Mikrokosmos, fifth book.",https://www.youtube.com/watch?v=Y5CsDc2Cpzo,https://www.youtube.com/channel/UCYMo7tAr2TkkvfR5f5Uyr3w,,0,0,0,0,1,0,0
UM-Rx6c1Ny0,Arpeggios,#shorts #shortstrending #EflatMajor #Arpeggio #scales #piano #pianotime #pianoscale #funtoplaypiano,20240122.0,16.0,13.0,0.0,,0.0,"E(b)+Arpeggio [EflatMajor]





*Fun re edit from a few months ago!! 🦄





#shorts #shortstrending #EflatMajor #Arpeggio #scales #piano #pianotime #pianoscale #funtoplaypiano #marilyn #marilynplayspiano",https://www.youtube.com/watch?v=UM-Rx6c1Ny0,https://www.youtube.com/channel/UCkdJNU5qf-10UM4QjQWoIXA,,0,1,0,0,0,0,0
rFh7RwyfgI0,Arpeggios,202207022a小調琶音練習,20221219.0,60.0,86.0,,,,,https://www.youtube.com/watch?v=rFh7RwyfgI0,https://www.youtube.com/channel/UCBKUB2kt-balXr9clnf5zaQ,,0,1,0,0,0,0,0
ZXWcf-P3I3k,Arpeggios,2016 07 01_E7琶音及倒琶快速版,20160728.0,7.0,150.0,0.0,,0.0,"2016-07-01 

E7琶音(3 #5 7 2)及倒琶",https://www.youtube.com/watch?v=ZXWcf-P3I3k,https://www.youtube.com/channel/UCgt0BrBoI7RsrcV250EK4Fw,,0,1,0,0,0,0,0
Sl1Z_dglxlo,Arpeggios,童年的回忆 （琶音练习）,20211108.0,82.0,987.0,13.0,,1.0,,https://www.youtube.com/watch?v=Sl1Z_dglxlo,https://www.youtube.com/channel/UCykEvQ7PBYH8RrWbXGdq1zg,['看不到视频。'],0,1,0,0,0,0,0
UhG9pPAcsHg,Arpeggios,31 分解和弦练习曲,20150520.0,30.0,964.0,6.0,,0.0,,https://www.youtube.com/watch?v=UhG9pPAcsHg,https://www.youtube.com/channel/UC36fRPbLVO2oQ-CxEgjTi_w,,0,1,0,0,0,0,0
QJ7MU87qDrc,Arpeggios,"Carl Czerny : Op. 599, No. 23",20160223.0,63.0,5116.0,66.0,,5.0,"Practical Method for Beginners on the Piano, Opus 599
""Op. 599, No. 23"" composed by Carl Czerny (1791-1857)

Sheet Music Source:
Clarfield, Ingrid Jacobson. Burgmuller, Czerny & Hanon, 32 Piano Studies Selected for Technique and Musicality. Book 1.
ISBN 0-7390-2030-7

*2016 40-piece Challenge, Adult Beginners Forum pianoworld.com

Instrument: Kawai MP11
Virtual Piano: Pianoteq 5.5.1 Grand Model B

-----------------
For academic purposes only. No copyright infringement intended.",https://www.youtube.com/watch?v=QJ7MU87qDrc,https://www.youtube.com/channel/UCSeoP6fbwKXXPCTHcRjU3cQ,"['Good ❤🎉😊', 'All red profile', 'Laqlslsqlxl', 'I made changes to the right hand, where is wrote si fa sol I change it for si re sol', 'I love these small pieces by Czerny!']",0,1,0,0,0,0,0
71qZ-BnhenI,Arpeggios,Czerny Etude n°30 op 299,20150425.0,63.0,1133.0,19.0,,1.0,"Czerny Etude n°30 op.299
Played on a Yamaha Clavinova CLP 120
Recorded with Cockos Reaper through a Focusrite Scarlett 6i6
Filmed with a Sony Cybershot
Edited with Windows Live Movie Maker",https://www.youtube.com/watch?v=71qZ-BnhenI,https://www.youtube.com/channel/UCcpjY-kCFFlRtyhRFAgvdPQ,['Lol'],0,1,0,0,0,0,0
