artist,artist_id,track,track_duration(s),composer,audio_path,youtube_links,audio_duration,composition_id
Ivo Pogorelich,46.0,"English Suite No. 2 in A Minor, BWV 807: VI. Gigue",170.093,Johann Sebastian Bach,"Johann_Sebastian_Bach/English_Suite_No.2_in_A_minor,_BWV_807/6._Gigue/11.mp3",https://www.youtube.com/watch?v=V9z2ZBhM1mE,170.0,568
András Schiff,4.0,English Suite No. 1 in A major BWV 806: 4. Courante II avec deux Doubles,178.0,Johann Sebastian Bach,Johann_Sebastian_Bach/English_Suite_No.1_in_A_major_BWV_806/4._Courante_II_avec_deux_Doubles/0.mp3,https://www.youtube.com/watch?v=Pt1b82420wU,178.0,449
Friedrich Gulda,24.0,"24 Préludes, Op. 28: No. 7 in A Major",40.968,Frédéric Chopin,"Frederic_Chopin/Prelude,_Op._28/No._7_in_A_Major/71.mp3",https://www.youtube.com/watch?v=TvQZIUdgmXg,40.0,1438
Vladimir Ashkenazy,6.0,"12 Etudes, Op. 10: No. 9 in F Minor",137.0,Frédéric Chopin,"Frederic_Chopin/12_Études,_Op._10/No._9_in_F_Minor/6.mp3",https://www.youtube.com/watch?v=rwlhAomtbQU,137.0,1418
Daniel Barenboim,9.0,"Piano Sonata No. 12 in A-Flat Major, Op. 26: 2. Scherzo. Allegro molto",163.2,Ludwig van Beethoven,Ludwig_van_Beethoven/Sonata_No._12_In_A_Flat_Op._26/2._Scherzo._Allegro_molto_-_Live/4.mp3,https://www.youtube.com/watch?v=Q7UyLU-EqJM,164.0,1245
András Schiff,4.0,"Das Wohltemperierte Klavier: Book 1, BWV 846-869: Fugue in F sharp major BWV 858",129.639,Johann Sebastian Bach,"Johann_Sebastian_Bach/The_Well-Tempered_Clavier,_Book_I/No._13_in_F-Sharp_Major,_BWV_858:_Fugue/5.mp3",https://www.youtube.com/watch?v=uDa-A8tQYgc,130.0,538
Vladimir Ashkenazy,6.0,"33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation XII. Un poco più moto",46.653,Ludwig van Beethoven,"Ludwig_van_Beethoven/33_Piano_Variations_In_C,_Op._120_On_A_Waltz_By_Anton_Diabelli/Variation_XII._Un_poco_più_moto/3.mp3",https://www.youtube.com/watch?v=ZUxaYiKO2uo,46.0,1297
Maurizio Pollini,5.0,"Piano Sonata No. 31 in A-Flat Major, Op. 110: II. Allegro molto",117.493,Ludwig van Beethoven,"Ludwig_van_Beethoven/Piano_Sonata_No._31_in_A-Flat_Major,_Op._110/II._Allegro_molto/8.mp3",https://www.youtube.com/watch?v=BuHCvE2Cqpg,117.0,1194
Nikolai Lugansky,41.0,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": II. Allegretto",146.946,Ludwig van Beethoven,"Ludwig_van_Beethoven/Piano_Sonata_No._14_in_C-Sharp_Minor,_Op._27_No._2_""Moonlight""/2._Allegretto/64.mp3",https://www.youtube.com/watch?v=vHY5oyHI_Ww,147.0,1306
Sviatoslav Richter,0.0,"English Suite No. 3 in G Minor, BWV 808: VI. Gigue",162.386,Johann Sebastian Bach,"Johann_Sebastian_Bach/English_Suite_No.3_in_G_minor,_BWV_808/6._Gigue/1.mp3",https://www.youtube.com/watch?v=HIDsCGn56Gc,162.0,491
Friedrich Gulda,24.0,"Piano Sonata No. 29 in B-Flat Major, Op. 106 ""Hammerklavier"": II. Scherzo. Assai vivace - Presto - Prestissimo - Tempo I",139.97299999999998,Ludwig van Beethoven,"Ludwig_van_Beethoven/Piano_Sonata_No._29_in_B-Flat_Major,_Op._106_""Hammerklavier""/II._Scherzo._Assai_vivace/25.mp3",https://www.youtube.com/watch?v=FhpLmuFOfA8,140.0,1233
Zoltán Kocsis,33.0,"Piano Sonata No. 11 in A Major, K. 331: III. Alla turca: Allegretto",218.066,Wolfgang Amadeus Mozart,"Wolfgang_Amadeus_Mozart/Piano_Sonata_No._11_in_A_Major,_K._331/3._Alla_Turca._Allegretto/31.mp3",https://www.youtube.com/watch?v=AlQ1B0rMQ14,219.0,1148
Friedrich Gulda,24.0,"Estampes, L. 100: No. 2, La soirée dans Grenade",262.356,Claude Debussy,"Claude_Debussy/Estampes,_L._100/2._Soirée_dans_Grenade/7.mp3",https://www.youtube.com/watch?v=vw3MJfQLsmw,262.0,675
Artur Schnabel,23.0,"Beethoven: Piano Sonata No. 5 in C Minor, Op. 10 No. 1: I. Allegro molto e con brio",281.133,Ludwig van Beethoven,"Ludwig_van_Beethoven/Piano_Sonata_No.5_in_C_minor,_Op.10_No.1/1._Allegro_molto_e_con_brio/17.mp3",https://www.youtube.com/watch?v=SXQB7VeFTyQ,282.0,1309
